location,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected]
20100217T0000,6.5105286,0.8305287,3.5159454
20100218T0000,10.140529,2.8505285,6.4509454
20100219T0000,6.3105288,2.2705286,4.869695
20100220T0000,6.4305286,0.12052866,2.7196953
20100221T0000,9.830529,0.5705287,4.569695
20100222T0000,14.700529,2.5905285,8.419279
20100223T0000,13.120529,7.3105288,9.822612
20100224T0000,13.260529,4.9305286,8.845529
20100225T0000,13.520529,3.0705285,8.620113
20100226T0000,9.920529,4.3205285,7.46553
20100227T0000,13.110529,2.1705287,6.918445
20100228T0000,13.890529,4.7305284,8.755945
20100301T0000,10.570529,1.5505286,6.598862
20100302T0000,9.200529,4.6405287,6.739695
20100303T0000,9.620529,0.17052865,5.153029
20100304T0000,8.490529,-0.69947135,3.401779
20100305T0000,2.7605286,-3.7294714,-0.4307213
20100306T0000,2.8605285,-2.1194715,-0.06822137
20100307T0000,3.0005286,-5.1694713,-1.419888
20100308T0000,4.4105287,-7.7594714,-1.6723881
20100309T0000,1.5005287,-5.7494717,-2.2382214
20100310T0000,4.3005285,-3.3094714,0.038445298
20100311T0000,2.2905285,-1.2194713,0.8251119
20100312T0000,6.2505283,-3.5994716,1.4142785
20100313T0000,7.2505283,-1.1694714,3.213445
20100314T0000,7.4505286,0.030528657,4.0430284
20100315T0000,8.440529,0.41052866,4.6892786
20100316T0000,10.030529,4.7805285,7.103445
20100317T0000,14.900529,0.25052866,8.065112
20100318T0000,17.05053,5.1805286,11.244697
20100319T0000,17.45053,7.9505286,12.69928
20100320T0000,19.89053,8.930529,13.787196
20100321T0000,15.710529,9.450529,13.1580305
20100322T0000,14.930529,7.8005285,11.251363
20100323T0000,16.430529,7.6705284,11.854279
20100324T0000,18.920528,5.3205285,12.500946
20100325T0000,20.37053,9.210529,13.79803
20100326T0000,14.190529,7.4505286,10.643445
20100327T0000,12.990529,3.6405284,9.045945
20100328T0000,12.620529,7.6105285,10.233447
20100329T0000,16.57053,9.290529,12.665944
20100330T0000,14.680529,5.4405284,10.127611
20100331T0000,11.0505295,3.9305286,7.0567784
20100401T0000,10.030529,3.0805285,6.195112
20100402T0000,12.930529,-0.17947134,7.023445
20100403T0000,13.420529,6.1205287,9.09678
20100404T0000,11.770529,5.3405285,8.466779
20100405T0000,10.920529,3.0805285,7.136362
20100406T0000,17.14053,2.0405285,9.732196
20100407T0000,18.80053,3.4505286,11.928445
20100408T0000,14.860529,8.510529,11.346364
20100409T0000,16.930529,8.730529,12.250946
20100410T0000,14.870529,5.5705285,9.52553
20100411T0000,10.090529,0.84052867,6.0026116
20100412T0000,10.730529,-0.14947134,5.5338616
20100413T0000,11.670529,1.7805287,6.4034457
20100414T0000,11.920529,5.1305285,8.443445
20100415T0000,13.630529,3.0505285,8.52803
20100416T0000,15.200529,4.020529,9.323445
20100417T0000,18.280529,3.5505285,10.043862
20100418T0000,17.65053,5.5005283,12.115528
20100419T0000,18.72053,8.8005295,14.355113
20100420T0000,17.87053,8.690529,13.373863
20100421T0000,16.910528,7.1605287,11.285113
20100422T0000,16.690529,3.8005285,10.614696
20100423T0000,19.180529,4.7105284,11.492611
20100424T0000,20.95053,6.0705285,14.021779
20100425T0000,22.410528,9.410529,16.421778
20100426T0000,18.360529,12.820529,15.428029
20100427T0000,19.340528,9.360529,14.568444
20100428T0000,22.440529,9.120529,16.033445
20100429T0000,24.71053,11.610529,18.715528
20100430T0000,20.55053,12.870529,17.327612
20100501T0000,15.730529,11.780529,13.293029
20100502T0000,14.780529,10.140529,12.249695
20100503T0000,14.220529,8.150529,11.109695
20100504T0000,16.020529,6.0305285,11.332196
20100505T0000,12.960529,5.7205286,9.868445
20100506T0000,10.150529,6.1205287,8.072195
20100507T0000,14.560529,6.2605286,10.335944
20100508T0000,16.54053,6.540529,12.682613
20100509T0000,15.510529,9.040529,12.5642805
20100510T0000,15.030529,9.570529,12.5713625
20100511T0000,18.430529,8.590529,13.132613
20100512T0000,14.830529,8.000528,11.460113
20100513T0000,9.920529,5.3605285,7.997612
20100514T0000,12.790529,5.1905284,9.4392805
20100515T0000,11.900529,5.5605288,9.465529
20100516T0000,14.360529,6.0005283,10.94553
20100517T0000,14.990529,9.210529,12.023446
20100518T0000,14.980529,8.610529,11.550946
20100519T0000,13.570529,5.6205287,10.497612
20100520T0000,12.660529,8.390529,10.487613
20100521T0000,17.95053,7.6605287,13.404696
20100522T0000,21.80053,7.8905287,14.843864
20100523T0000,22.21053,10.3005295,16.568027
20100524T0000,25.270529,11.850529,19.210947
20100525T0000,26.110529,13.560529,19.843863
20100526T0000,19.81053,13.0505295,16.475529
20100527T0000,18.46053,13.270529,15.949695
20100528T0000,18.55053,12.140529,15.468862
20100529T0000,21.030529,10.130529,16.15386
20100530T0000,17.350529,13.100529,15.325944
20100531T0000,15.640529,9.650529,12.645528
20100601T0000,17.57053,8.100529,13.500111
20100602T0000,18.490528,11.110529,15.036361
20100603T0000,18.170528,10.320529,14.249278
20100604T0000,24.98053,10.450529,17.442196
20100605T0000,25.610529,12.350529,20.0647
20100606T0000,26.250528,17.690529,21.486778
20100607T0000,22.65053,15.270529,19.382614
20100608T0000,24.170528,14.680529,20.266363
20100609T0000,27.88053,15.470529,22.005945
20100610T0000,30.72053,16.920528,22.688444
20100611T0000,24.38053,16.45053,20.858446
20100612T0000,22.04053,14.310529,18.295528
20100613T0000,17.73053,13.640529,16.062197
20100614T0000,19.180529,14.210529,16.808863
20100615T0000,20.420528,11.980529,15.928864
20100616T0000,20.30053,13.130529,16.534277
20100617T0000,17.580528,13.180529,15.085113
20100618T0000,18.72053,12.970529,15.635113
20100619T0000,13.810529,10.260529,12.37428
20100620T0000,14.920529,7.040529,11.7067795
20100621T0000,16.21053,8.520529,12.75803
20100622T0000,18.590528,8.010529,13.825946
20100623T0000,22.62053,9.670529,16.68386
20100624T0000,23.180529,10.330529,18.098864
20100625T0000,25.340528,14.760529,20.588446
